 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.100000,   23.599190,   -1.000000
    0.100000,   23.699187,   -1.000000
    0.100000,   23.799183,   -1.000000
    0.100000,   23.899180,   -1.000000
    0.100000,   23.999177,   -1.000000
    0.100000,   24.099173,   -1.000000
    0.100000,   24.199170,   -1.000000
    0.100000,   24.299166,   -1.000000
    0.100000,   24.399163,   -1.000000
    0.100000,   24.499159,   -1.000000
    0.100000,   24.599156,   -1.000000
    0.100000,   24.699153,   -1.000000
    0.100000,   24.799149,   -1.000000
    0.100000,   24.899146,   -1.000000
    0.100000,   24.999142,   -1.000000
    0.100000,   25.099139,   -1.000000
    0.100000,   25.199135,   -1.000000
    0.100000,   25.299132,   -1.000000
    0.100000,   25.399129,   -1.000000
    0.100000,   25.499125,   -1.000000
    0.100000,   25.599122,   -1.000000
    0.100000,   25.699118,   -1.000000
    0.100000,   25.799115,   -1.000000
    0.100000,   25.899111,   -1.000000
    0.100000,   25.999108,   -1.000000
    0.100000,   26.099105,   -1.000000
    0.100000,   26.199101,   -1.000000
    0.100000,   26.299098,   -1.000000
    0.100000,   26.399094,   -1.000000
    0.100000,   26.499091,   -1.000000
    0.100000,   26.599087,   -1.000000
    0.100000,   26.699084,   -1.000000
    0.100000,   26.799081,   -1.000000
    0.100000,   26.899077,   -1.000000
    0.100000,   26.999074,   -1.000000
    0.100000,   27.099070,   -1.000000
    0.100000,   27.199067,   -1.000000
    0.100000,   27.299063,   -1.000000
    0.100000,   27.399060,   -1.000000
    0.100000,   27.499057,   -1.000000
    0.100000,   27.599053,   -1.000000
    0.100000,   27.699050,   -1.000000
    0.100000,   27.799046,   -1.000000
    0.100000,   27.899043,   -1.000000
    0.100000,   27.999039,   -1.000000
    0.100000,   28.099036,   -1.000000
    0.100000,   28.199033,   -1.000000
    0.100000,   28.299029,   -1.000000
    0.100000,   28.399026,   -1.000000
    0.100000,   28.499022,   -1.000000
    0.100000,   28.599019,   -1.000000
    0.100000,   28.699015,   -1.000000
    0.100000,   28.799012,   -1.000000
    0.100000,   28.899009,   -1.000000
    0.100000,   28.999005,   -1.000000
    0.100000,   29.099002,   -1.000000
    0.100000,   29.198998,   -1.000000
    0.100000,   29.298995,   -1.000000
    0.100000,   29.398991,   -1.000000
